ident:eid,time:timestamp,case:concept:name,concept:name,message,tilt:data_disclosed,tilt:purposes,tilt:legal_bases
155,"2023-04-23 17:05:18,947",0x5db10300ddcaab22c681fd20a76298e,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
156,"2023-04-23 17:05:19,065",0x75d088773e0639b3374260d8e3264d6f,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
157,"2023-04-23 17:05:19,107",0x75d088773e0639b3374260d8e3264d6f,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
158,"2023-04-23 17:05:19,220",0x3a6c356d4fc2c3005c0a19717ea27335,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
159,"2023-04-23 17:05:19,249",0x3a6c356d4fc2c3005c0a19717ea27335,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
160,"2023-04-23 17:05:19,655",0x10d28326458e584ed2d4402b56913920,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
161,"2023-04-23 17:05:19,685",0x10d28326458e584ed2d4402b56913920,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
162,"2023-04-23 17:05:19,903",0x14fc31153a98c6bcbff052696a0ba87e,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
163,"2023-04-23 17:05:19,927",0x14fc31153a98c6bcbff052696a0ba87e,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
164,"2023-04-23 17:05:20,361",0x226596a06f001ec7c879a499da01314f,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
165,"2023-04-23 17:05:20,398",0x226596a06f001ec7c879a499da01314f,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
166,"2023-04-23 17:05:20,740",0xd7ab16f346d7838a24731f295cc0fa43,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
167,"2023-04-23 17:05:20,766",0xd7ab16f346d7838a24731f295cc0fa43,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
